BarChartType,ModelName,SamplingTarget,SamplingMethod,DownSamplingLevel,RunIndex,MeanError
1,VGG19,Ratio,IID,2,0,0.009961817999999997
1,VGG19,Ratio,IID,2,1,0.014232781
1,VGG19,Ratio,IID,2,2,0.0106831025
1,VGG19,Ratio,IID,2,3,0.010291013500000001
1,VGG19,Ratio,IID,2,4,0.008646160500000001
1,VGG19,Ratio,IID,4,0,0.012583740999999999
1,VGG19,Ratio,IID,4,1,0.008581169
1,VGG19,Ratio,IID,4,2,0.014090731500000002
1,VGG19,Ratio,IID,4,3,0.0115719425
1,VGG19,Ratio,IID,4,4,0.010779228000000002
1,VGG19,Ratio,IID,8,0,0.010844472999999999
1,VGG19,Ratio,IID,8,1,0.029303880999999997
1,VGG19,Ratio,IID,8,2,0.016822223499999997
1,VGG19,Ratio,IID,8,3,0.03504113
1,VGG19,Ratio,IID,8,4,0.014341842
1,VGG19,Ratio,IID,16,0,0.1316157165
1,VGG19,Ratio,IID,16,1,0.15882723599999998
1,VGG19,Ratio,IID,16,2,0.2087667415
1,VGG19,Ratio,IID,16,3,0.156216466
1,VGG19,Ratio,IID,16,4,0.061539924999999995
1,VGG19,Ratio,COV,2,0,0.009205492999999999
1,VGG19,Ratio,COV,2,1,0.016158444
1,VGG19,Ratio,COV,2,2,0.010269731500000002
1,VGG19,Ratio,COV,2,3,0.0076259125
1,VGG19,Ratio,COV,2,4,0.008737625
1,VGG19,Ratio,COV,4,0,0.009343982999999998
1,VGG19,Ratio,COV,4,1,0.010689914
1,VGG19,Ratio,COV,4,2,0.0095040285
1,VGG19,Ratio,COV,4,3,0.010284103000000001
1,VGG19,Ratio,COV,4,4,0.013113048500000002
1,VGG19,Ratio,COV,8,0,0.0129060015
1,VGG19,Ratio,COV,8,1,0.0123445575
1,VGG19,Ratio,COV,8,2,0.012242904499999999
1,VGG19,Ratio,COV,8,3,0.009791145999999999
1,VGG19,Ratio,COV,8,4,0.011698819000000001
1,VGG19,Ratio,COV,16,0,0.0663525965
1,VGG19,Ratio,COV,16,1,0.056986205500000005
1,VGG19,Ratio,COV,16,2,0.0884099795
1,VGG19,Ratio,COV,16,3,0.070008072
1,VGG19,Ratio,COV,16,4,0.078410806
1,VGG19,Ratio,ADV,2,0,0.013617287499999998
1,VGG19,Ratio,ADV,2,1,0.009474348499999998
1,VGG19,Ratio,ADV,2,2,0.011256467499999999
1,VGG19,Ratio,ADV,2,3,0.013659871999999998
1,VGG19,Ratio,ADV,2,4,0.0151372545
1,VGG19,Ratio,ADV,4,0,0.14185638099999998
1,VGG19,Ratio,ADV,4,1,0.013093332000000001
1,VGG19,Ratio,ADV,4,2,0.061799807
1,VGG19,Ratio,ADV,4,3,0.0361781875
1,VGG19,Ratio,ADV,4,4,0.014902169500000003
1,VGG19,Ratio,ADV,8,0,0.14725674
1,VGG19,Ratio,ADV,8,1,0.05613056
1,VGG19,Ratio,ADV,8,2,0.08117941949999999
1,VGG19,Ratio,ADV,8,3,0.149186595
1,VGG19,Ratio,ADV,8,4,0.124324665
1,VGG19,Ratio,ADV,16,0,0.5291987140000001
1,VGG19,Ratio,ADV,16,1,0.1761448745
1,VGG19,Ratio,ADV,16,2,0.1187769305
1,VGG19,Ratio,ADV,16,3,0.374966929
1,VGG19,Ratio,ADV,16,4,0.1728078385
1,VGG19,Ratio,OOD,2,0,0.031948950500000003
1,VGG19,Ratio,OOD,2,1,0.059959348999999995
1,VGG19,Ratio,OOD,2,2,0.0510852315
1,VGG19,Ratio,OOD,2,3,0.05427450200000001
1,VGG19,Ratio,OOD,2,4,0.102985615
1,VGG19,Ratio,OOD,4,0,0.126078494
1,VGG19,Ratio,OOD,4,1,0.22369352650000002
1,VGG19,Ratio,OOD,4,2,0.17635088200000001
1,VGG19,Ratio,OOD,4,3,0.2182764385
1,VGG19,Ratio,OOD,4,4,0.3227014815
1,VGG19,Ratio,OOD,8,0,0.24907009800000002
1,VGG19,Ratio,OOD,8,1,0.317896998
1,VGG19,Ratio,OOD,8,2,0.305430329
1,VGG19,Ratio,OOD,8,3,0.322245756
1,VGG19,Ratio,OOD,8,4,0.414267111
1,VGG19,Ratio,OOD,16,0,0.301407869
1,VGG19,Ratio,OOD,16,1,0.3850018945
1,VGG19,Ratio,OOD,16,2,0.3707062075
1,VGG19,Ratio,OOD,16,3,0.374903035
1,VGG19,Ratio,OOD,16,4,0.496230207
1,VGG19,Height,IID,2,0,0.0084434865
1,VGG19,Height,IID,2,1,0.015456230500000001
1,VGG19,Height,IID,2,2,0.056214780500000006
1,VGG19,Height,IID,2,3,0.010147850999999998
1,VGG19,Height,IID,2,4,0.010404950999999999
1,VGG19,Height,IID,4,0,0.011734442500000001
1,VGG19,Height,IID,4,1,0.09149334249999999
1,VGG19,Height,IID,4,2,0.052896201
1,VGG19,Height,IID,4,3,0.0203981875
1,VGG19,Height,IID,4,4,0.0174026965
1,VGG19,Height,IID,8,0,0.015336274
1,VGG19,Height,IID,8,1,0.0850447485
1,VGG19,Height,IID,8,2,0.121322191
1,VGG19,Height,IID,8,3,0.02543283
1,VGG19,Height,IID,8,4,0.028096
1,VGG19,Height,IID,16,0,0.046757345
1,VGG19,Height,IID,16,1,0.0617631265
1,VGG19,Height,IID,16,2,0.125934083
1,VGG19,Height,IID,16,3,0.077684297
1,VGG19,Height,IID,16,4,0.0551105265
1,VGG19,Height,COV,2,0,0.010754911
1,VGG19,Height,COV,2,1,0.011509740499999999
